date,trading_code,last_traded_price,high,low,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
8/7/2017 0:00,1JANATAMF,7.8,8,7.7,7.9,7.9,7.9,301,16.195,2059271
,,,,,,,,,,
8/6/2017 0:00,1JANATAMF,8,8.1,7.8,7.8,7.9,7.8,512,23.796,2987222
,,,,,,,,,,
8/3/2017 0:00,1JANATAMF,7.8,7.9,7.5,7.6,7.8,7.6,404,20.641,2676642
,,,,,,,,,,
8/2/2017 0:00,1JANATAMF,7.6,7.6,7.4,7.5,7.6,7.5,277,19.656,2602939
,,,,,,,,,,
8/1/2017 0:00,1JANATAMF,7.5,7.5,7.3,7.3,7.5,7.3,85,5.982,810666
,,,,,,,,,,
7/31/2017 0:00,1JANATAMF,7.3,7.4,7.2,7.3,7.3,7.3,137,4.571,626883
,,,,,,,,,,
7/30/2017 0:00,1JANATAMF,7.3,7.4,7.3,7.4,7.3,7.4,94,3.855,527203
,,,,,,,,,,
7/27/2017 0:00,1JANATAMF,7.3,7.5,7.3,7.5,7.4,7.5,142,7.392,996860
,,,,,,,,,,
7/26/2017 0:00,1JANATAMF,7.4,7.5,7.3,7.4,7.5,7.4,86,2.567,346618
,,,,,,,,,,
7/25/2017 0:00,1JANATAMF,7.3,7.4,7.3,7.4,7.4,7.4,139,6.954,941434
,,,,,,,,,,
7/24/2017 0:00,1JANATAMF,7.4,7.5,7.4,7.5,7.4,7.5,90,2.684,361491
,,,,,,,,,,
7/23/2017 0:00,1JANATAMF,7.5,7.6,7.4,7.6,7.5,7.5,102,5.827,775437
,,,,,,,,,,
7/20/2017 0:00,1JANATAMF,7.6,7.6,7.4,7.5,7.5,7.6,94,2.632,349907
,,,,,,,,,,
7/19/2017 0:00,1JANATAMF,7.6,7.6,7.4,7.5,7.6,7.4,150,4.507,601607
,,,,,,,,,,
7/18/2017 0:00,1JANATAMF,7.5,7.5,7.4,7.4,7.4,7.4,116,7.128,952432
,,,,,,,,,,
7/17/2017 0:00,1JANATAMF,7.4,7.5,7.4,7.4,7.4,7.4,98,3.707,496026
,,,,,,,,,,
7/16/2017 0:00,1JANATAMF,7.4,7.6,7.4,7.4,7.4,7.4,140,4.162,556389
,,,,,,,,,,
7/13/2017 0:00,1JANATAMF,7.5,7.5,7.4,7.5,7.4,7.5,137,3.597,483317
,,,,,,,,,,
7/12/2017 0:00,1JANATAMF,7.4,7.6,7.4,7.6,7.5,7.5,163,6.352,845105
,,,,,,,,,,
7/11/2017 0:00,1JANATAMF,7.6,7.8,7.5,7.6,7.5,7.6,254,15.554,2046373
,,,,,,,,,,
7/10/2017 0:00,1JANATAMF,7.6,7.7,7.4,7.4,7.6,7.5,206,7.638,1006252
,,,,,,,,,,
7/9/2017 0:00,1JANATAMF,7.5,7.5,7.4,7.4,7.5,7.4,112,3.458,465658
,,,,,,,,,,
7/6/2017 0:00,1JANATAMF,7.5,7.5,7.4,7.5,7.4,7.4,145,3.823,513418
,,,,,,,,,,
7/5/2017 0:00,1JANATAMF,7.5,7.5,7.4,7.4,7.4,7.4,73,1.609,217078
,,,,,,,,,,
7/4/2017 0:00,1JANATAMF,7.4,7.5,7.4,7.5,7.4,7.4,109,4.469,602401
,,,,,,,,,,
7/3/2017 0:00,1JANATAMF,7.4,7.5,7.4,7.4,7.4,7.5,88,2.883,389411
,,,,,,,,,,
7/2/2017 0:00,1JANATAMF,7.5,7.5,7.4,7.4,7.5,7.3,92,3.261,438806
,,,,,,,,,,
6/29/2017 0:00,1JANATAMF,7.3,7.4,7.2,7.3,7.3,7.3,159,5.243,718894
,,,,,,,,,,
6/28/2017 0:00,1JANATAMF,7.4,7.4,7.2,7.3,7.3,7.3,79,1.499,205307
,,,,,,,,,,
6/22/2017 0:00,1JANATAMF,7.4,7.4,7.2,7.3,7.3,7.3,112,3.713,508678
,,,,,,,,,,
6/21/2017 0:00,1JANATAMF,7.3,7.4,7.2,7.4,7.3,7.3,109,2.64,362233
,,,,,,,,,,
6/20/2017 0:00,1JANATAMF,7.3,7.3,7.2,7.3,7.3,7.2,98,1.362,186724
,,,,,,,,,,
6/19/2017 0:00,1JANATAMF,7.3,7.4,7.2,7.3,7.2,7.3,80,1.625,225188
,,,,,,,,,,
6/18/2017 0:00,1JANATAMF,7.3,7.4,7.2,7.4,7.3,7.4,142,2.174,298964
,,,,,,,,,,
6/15/2017 0:00,1JANATAMF,7.4,7.4,7.3,7.3,7.4,7.3,113,1.707,231672
,,,,,,,,,,
6/14/2017 0:00,1JANATAMF,7.3,7.4,7.3,7.4,7.3,7.4,74,0.704,96317
,,,,,,,,,,
6/13/2017 0:00,1JANATAMF,7.3,7.4,7.3,7.4,7.4,7.4,97,1.996,271841
,,,,,,,,,,
6/12/2017 0:00,1JANATAMF,7.5,7.5,7.3,7.3,7.4,7.3,96,2.756,371607
,,,,,,,,,,
6/11/2017 0:00,1JANATAMF,7.4,7.4,7.3,7.4,7.3,7.4,96,1.406,192113
,,,,,,,,,,
6/8/2017 0:00,1JANATAMF,7.4,7.4,7.3,7.4,7.4,7.3,106,1.558,211479
,,,,,,,,,,
6/7/2017 0:00,1JANATAMF,7.4,7.5,7.3,7.5,7.3,7.5,123,1.589,215165
,,,,,,,,,,
6/6/2017 0:00,1JANATAMF,7.4,7.5,7.3,7.4,7.5,7.3,172,8.472,1133611
,,,,,,,,,,
6/5/2017 0:00,1JANATAMF,7.4,7.4,7.3,7.4,7.3,7.3,109,4.827,658593
,,,,,,,,,,
6/4/2017 0:00,1JANATAMF,7.3,7.4,7.3,7.4,7.3,7.4,95,2.114,287938
,,,,,,,,,,
6/1/2017 0:00,1JANATAMF,7.4,7.6,7.4,7.4,7.4,7.4,82,8.125,1071637
,,,,,,,,,,
5/31/2017 0:00,1JANATAMF,7.4,7.7,7.4,7.4,7.4,7.4,131,13.548,1791440
,,,,,,,,,,
5/30/2017 0:00,1JANATAMF,7.4,7.7,7.4,7.5,7.4,7.4,130,21.007,2758006
,,,,,,,,,,
5/29/2017 0:00,1JANATAMF,7.5,7.8,7.3,7.6,7.4,7.6,205,21.24,2763102
,,,,,,,,,,
5/28/2017 0:00,1JANATAMF,7.7,7.9,7.4,7.5,7.6,7.5,363,28.68,3746374
,,,,,,,,,,
